,Loss,Accuracy,Recall,Precision,F1
52,0.19862179916638595,0.5104551045510455,0.5079180777293985,0.5074757788673777,0.5076093501390949
53,0.1971890083872355,0.5178351783517835,0.5152643390850938,0.5149041827886348,0.5148297867861032
54,0.19876918139366004,0.5166051660516605,0.5140064774498737,0.5136008498139665,0.5136135279412457
55,0.19747217629964536,0.5104551045510455,0.5075962210396172,0.5073916183836575,0.5066664082897939
56,0.19827999403843513,0.5104551045510455,0.5078176235015858,0.5075144001131324,0.507462107847809
57,0.19827438718997514,0.5178351783517835,0.515710839649519,0.5157739632819166,0.5156760832754924
58,0.19707071150724703,0.5153751537515375,0.5133513411815298,0.5138324425380377,0.513008312441026
59,0.19701323830164397,0.5141451414514145,0.5118200021501909,0.51193433211155,0.5112367776847686
60,0.19749852499136558,0.5202952029520295,0.517627533193571,0.517291494940181,0.5171321175313192
61,0.19706568924280313,0.5252152521525215,0.522606904800301,0.5223351648351648,0.5220980367363798
62,0.1984501418012839,0.5239852398523985,0.5215499516207064,0.5212359832673836,0.5212114085121643
63,0.19732133757609588,0.5227552275522755,0.5204409235069613,0.5201865967552081,0.5202408964327391
64,0.19723633848703825,0.5215252152521526,0.5191383782185669,0.5200760352114625,0.5187165472713781
65,0.19740414390197167,0.5264452644526445,0.5243875315809278,0.5243116332259968,0.524273117275968
66,0.1979765473650052,0.5239852398523985,0.5214773826802128,0.5219980835315887,0.5210072266853066
67,0.19841003246032274,0.5202952029520295,0.5177558727087029,0.5178972751642313,0.5171228488319942
68,0.19653767519272292,0.5227552275522755,0.5200501935171746,0.5209328528538467,0.5187297767488458
69,0.1977792061292208,0.5215252152521526,0.5195811831425039,0.5198754083487009,0.5197095093681584
70,0.19599137283288515,0.5227552275522755,0.5204409235069613,0.5202443560201423,0.5201348339962201
71,0.19738382960741335,0.5202952029520295,0.5177316830618718,0.5186656503802461,0.5170761840590715
72,0.19531777730354896,0.5215252152521526,0.5189895446970919,0.5203365794936968,0.518463427800738
73,0.19705834812842882,0.5252152521525215,0.5227110546686018,0.5232196109144621,0.5220650174719983
74,0.1962156227001777,0.5227552275522755,0.5208427404182121,0.5210078571217525,0.5207338720537091
75,0.19551043269725946,0.5239852398523985,0.5218029350104821,0.5225602175869009,0.5214688762858265
76,0.19658548041031912,0.5239852398523985,0.5218029350104821,0.5222994998081503,0.5214235474963161
77,0.19638951810506675,0.5239852398523985,0.5221247917002634,0.5224954895679751,0.5220544882244439
78,0.1966889173938678,0.5301353013530136,0.5277945761436328,0.5287280224743,0.5266364198789925
79,0.1947158586520415,0.5276752767527675,0.5256285948502929,0.5263614176145262,0.5248736218344257
80,0.19602123418679604,0.5289052890528906,0.5269348357791754,0.5276478077504575,0.5263429552903237
81,0.1969795605311027,0.5264452644526445,0.5242460893404289,0.5249958698777236,0.5233152640108515
82,0.19620292920332688,0.5252152521525215,0.5229119631242273,0.5231456650968443,0.522144284354167
83,0.19548612374525803,0.5264452644526445,0.5242907729936032,0.524194313070342,0.5240846620817793
84,0.1952464127769837,0.5227552275522755,0.5205171880879428,0.5204388882811414,0.5202595962317883
85,0.19642465103131074,0.5239852398523985,0.5220038434661075,0.522530408997297,0.5215199651001914
86,0.19674455832976562,0.5276752767527675,0.5257253534376175,0.5259515570934256,0.5252746868141188
87,0.19582820511781251,0.5289052890528906,0.5267823066172123,0.5266269129688137,0.5262702796641762
88,0.19592700898647308,0.5202952029520295,0.5181093103262914,0.5186673407892965,0.5171210383735234
89,0.1955867180457482,0.5301353013530136,0.5283136456485513,0.5286712548353346,0.5280765105150529
90,0.19445032683702615,0.5276752767527675,0.5258221120249423,0.5258349071689474,0.5256952408866786
91,0.19520338682027963,0.5239852398523985,0.5218345159382896,0.5224883324765389,0.5202681700318059
92,0.19553998284615004,0.5276752767527675,0.5259020722464118,0.52625292153965,0.5252868587870152
93,0.19619645866063926,0.5252152521525215,0.5228877734773961,0.522920846610803,0.521940150678498
94,0.19564357686501282,0.5313653136531366,0.5292738402408214,0.5294202357353798,0.5285912095923994
95,0.1964949518442154,0.5301353013530136,0.5280401682524324,0.5283164970799251,0.5274961386606103
96,0.19476955097455245,0.5289052890528906,0.5269311401386872,0.5270122083848715,0.5266397311940345
97,0.19478884912454164,0.5301353013530136,0.5282894560017203,0.5286732720916557,0.5279328154602262
98,0.19355734896201354,0.5338253382533825,0.531990471966887,0.5326495442829041,0.5311890234523072
99,0.19535381920062578,0.5301353013530136,0.5280680535397516,0.5285610815253575,0.527143671770698
100,0.19499646700345552,0.5313653136531366,0.5293947884749771,0.5292242202635592,0.5291658667489928
101,0.19484019909913725,0.5338253382533825,0.5321151158415308,0.5329549796664755,0.531415343915344
102,0.1954353113587086,0.5313653136531366,0.5294952427027898,0.529385206182334,0.529259637030861
103,0.19466033921791956,0.5227552275522755,0.5208743213460195,0.5222827356602191,0.520016727576865
104,0.19634935145194715,0.5338253382533825,0.5317895635112616,0.5318942146647672,0.5310646002016917
105,0.19465261239271897,0.5350553505535055,0.5331441837338063,0.5329016725701048,0.5327367902258663
106,0.1955684429177871,0.5289052890528906,0.5269106461323442,0.5269269638342705,0.5260206414825405
107,0.19439043735082334,0.5301353013530136,0.528265266354889,0.5280617845249312,0.527804949385065
108,0.19449894187542108,0.5264452644526445,0.5247967397731549,0.5252090545517776,0.523907965232503
109,0.1949257758947519,0.5338253382533825,0.5319142073859054,0.5318813892578514,0.5312099444158637
110,0.1933189435647084,0.5313653136531366,0.5295231279901093,0.529310681031541,0.5289992000336828
111,0.193937008197491,0.5276752767527675,0.525649088856636,0.5255087102913191,0.5252053019890358
112,0.19405054702208593,0.5301353013530136,0.5281890017739075,0.527977067977068,0.5277800349422537
113,0.19509515739404237,0.5252152521525215,0.5233621593291405,0.5240153107553929,0.5226997571541641
114,0.19462542694348556,0.5215252152521526,0.519439740902005,0.5204205130842483,0.5186983401543058
115,0.19357695717077988,0.5252152521525215,0.5234868032037844,0.5236426745240723,0.5228746502344159
116,0.19449177900185952,0.5289052890528906,0.526605587808418,0.5264742601160314,0.5261046555783397
117,0.19413675253207868,0.5215252152521526,0.5198657474600871,0.5207644871946181,0.5191455788487546
118,0.19431589715755904,0.5301353013530136,0.5282410767080578,0.5281744600713226,0.527634014270718
119,0.19463093063006034,0.5276752767527675,0.5256732785034672,0.525468886148654,0.5253024765628629
