,Loss,Accuracy,Recall,Precision,F1
0,0.22296601082339432,0.34266409266409265,0.34216101742931454,0.3331658238349635,0.32337737040066633
1,0.2238128727132624,0.3310810810810811,0.3313317206530885,0.3373304663579524,0.21954533417390487
2,0.22253587209817136,0.3001930501930502,0.3007941826955298,0.2999811575997107,0.27088210094900717
3,0.22275868916150296,0.3416988416988417,0.34105304847073814,0.3327736310338638,0.31935084821459053
4,0.2223832697579355,0.3484555984555985,0.34779212386523933,0.3465185074287552,0.31409701330731493
5,0.2222477522763339,0.35135135135135137,0.35164265291566177,0.3515820881842731,0.33328160694462894
6,0.2215729301626032,0.3638996138996139,0.36372905353055884,0.3932646178909323,0.3412941641606479
7,0.21843703678160004,0.44015444015444016,0.44022980774429715,0.4405005107252298,0.44025917588896374
8,0.20795454491268506,0.4777992277992278,0.47778579099521573,0.4799857470885301,0.4782121164854918
9,0.19260201354821524,0.5222007722007722,0.5222392928036127,0.5288983880056484,0.5242392956085501
10,0.1724211715839126,0.6052123552123552,0.6051400985609557,0.6133375796882411,0.6027327233355445
11,0.15449005455681772,0.6708494208494209,0.6709717636881134,0.6714848508017388,0.6711299117838253
12,0.14234930028518042,0.7104247104247104,0.7104154181426366,0.712664586082775,0.7109824953703198
13,0.13452150537209076,0.724903474903475,0.7248860423350418,0.7284327009936766,0.7256803625954653
14,0.13311383545850264,0.724903474903475,0.7249276867832419,0.7263649393766545,0.7252089124429549
15,0.12608729189995563,0.750965250965251,0.7508866098974729,0.7547657785822853,0.7514573187135181
16,0.1151946373283863,0.7722007722007722,0.7720953867502502,0.7748955191471826,0.7722523594899274
17,0.11442721635103226,0.7799227799227799,0.7798473732997003,0.781994495533142,0.7800905087121399
18,0.099178792287906,0.8194980694980695,0.8194498108718803,0.8207780583982114,0.8190954156905947
19,0.11115680905905637,0.778957528957529,0.7789704359222663,0.7834919828683585,0.7801784720618846
20,0.1004479198970578,0.8233590733590733,0.823297887392117,0.8269873582155757,0.8234128560151243
21,0.10111083914384697,0.8223938223938224,0.8223790627417119,0.8243447573114356,0.8222237238389974
22,0.08531832147502538,0.8465250965250966,0.8464585464120699,0.8500512032770097,0.8464020987981234
23,0.09937143416115732,0.8194980694980695,0.8194443877853312,0.8205357329739669,0.8193989486239698
24,0.11127263273705136,0.7712355212355212,0.771198934355399,0.7815127053688401,0.7731957028824725
25,0.09698016495641434,0.8252895752895753,0.8252832793776692,0.8275498102466793,0.8251963912741145
26,0.09386948981519902,0.8243243243243243,0.8242140004992478,0.8262076485605897,0.8241599433825288
27,0.08110099511616158,0.862934362934363,0.8628978076808389,0.8652133014988892,0.8627105060294972
28,0.08183897416474241,0.8532818532818532,0.8531884187477559,0.8562911086568695,0.8530081666266037
29,0.08727556371101827,0.834942084942085,0.834861437710428,0.8369560774696598,0.8343671447351063
30,0.08525594549648689,0.8532818532818532,0.8531605262757447,0.8556690776393429,0.8526464605708486
31,0.08896744302050634,0.8465250965250966,0.8464586921069323,0.8472157902109206,0.8464402613755877
32,0.10292075153891787,0.8252895752895753,0.8251298707816076,0.8264496124532963,0.8245057424174179
33,0.08471022495491938,0.8571428571428571,0.8571230299221634,0.8598492690883995,0.8572089077190874
34,0.08298003526799606,0.8523166023166023,0.8522837831581271,0.8543303174025981,0.8524566425115596
35,0.08050198909459692,0.8523166023166023,0.8522363271037449,0.8555538071181928,0.8524888859838248
36,0.07353611262232969,0.8716216216216216,0.8715712332940605,0.8734028690207097,0.8712778642072859
37,0.0774094873869961,0.861003861003861,0.8609348365157947,0.8648662833554474,0.8612915304204932
38,0.07838692763030078,0.8552123552123552,0.8552214124825531,0.8569545338837704,0.8553724633199006
39,0.10237684772547448,0.8214285714285714,0.8213823722814553,0.8244127761344998,0.8217649482505585
40,0.07923114220752861,0.86003861003861,0.859988265088241,0.8608491824463843,0.8600919407849398
41,0.07653463389160055,0.8667953667953668,0.8666928108003278,0.8694147310503427,0.8663359566086667
42,0.07150603063178784,0.8706563706563707,0.8706303277778265,0.8719559679207315,0.8707788967976459
43,0.07484414755846515,0.8687258687258688,0.8685862450451606,0.8719068154438512,0.8684786601224812
44,0.08079329144322511,0.8552123552123552,0.8551013194450515,0.8572477774020686,0.8546390018737147
45,0.0753375714023908,0.8648648648648649,0.8648275604172313,0.8652593834723495,0.8647905359551521
46,0.07305180416865782,0.8696911196911197,0.8695720893323194,0.8720620553506909,0.8696178021005895
47,0.0843087975782427,0.8416988416988417,0.8417477215751751,0.8439093998550863,0.8418835763828376
48,0.07461186992286732,0.8716216216216216,0.8715741390971518,0.8741287881013421,0.8717275839710764
49,0.06926722706041553,0.8774131274131274,0.8773350191847759,0.8799472240589719,0.8775091120813098
